job_id,title,role_category,seniority,description,required_skills,nice_to_have_skills,location
J017,Junior Application Security Analyst,Security Analyst,Junior,"Review code changes and service designs for OWASP top-10 risks as part of an application security rotation with engineering teams. Run SAST tooling, file detailed bug reports with reproduction steps and actionable remediation guidance, and shadow senior engineers during threat reviews.",owasp|vulnerability-management|python|git,threat-modeling|compliance,Remote
J018,Security Analyst,Security Analyst,Mid,"Own SIEM content engineering for the security operations team, writing and maintaining detection rules backed by tests. Lead incident investigations end-to-end from alert through root cause, and partner with platform teams to harden IAM policies based on observed attack surface.",siem|splunk|incident-response|iam|owasp|network-security|python|linux,compliance|threat-modeling,Remote
J019,Security Analyst II,Security Analyst,Mid,"Run the SOC's monthly purple-team cycle, coordinating simulated attack chains with the red team and detection coverage work with the blue team. Lead external pentest engagements, triage findings, and drive remediation across engineering owners to a clear SLA.",penetration-testing|owasp|vulnerability-management|incident-response|linux|python|nmap,siem|splunk,Washington DC
J020,Security Analyst II,Security Analyst,Mid,"Operate the vulnerability management program at scale across thousands of assets, including scanning, prioritization, and remediation coordination. Drive SOC 2 readiness work alongside the GRC team, maintaining evidence and audit artifacts across quarterly control reviews.",vulnerability-management|compliance|siem|owasp|iam|linux|python,incident-response|threat-modeling,Remote
J021,Security Analyst II,Security Analyst,Mid,"Lead threat modeling reviews for new services during architecture design, capturing trust boundaries and deriving concrete security requirements. Own the application security backlog with engineering partners, prioritizing findings by blast radius and driving remediation across teams.",threat-modeling|owasp|vulnerability-management|cryptography|python|git,compliance|siem,New York NY
J022,Security Analyst III,Security Analyst,Mid,"Develop and maintain detection-as-code pipelines so Splunk rule changes flow through code review, tests, and CI before hitting production. Own the full Splunk content lifecycle and build IR automation to shave minutes off high-volume playbook steps.",siem|splunk|incident-response|python|git|ci-cd|linux,owasp|compliance,Remote
J023,Senior Security Analyst,Security Analyst,Senior,"Lead the detection and response program for a growing security organization, setting priorities across intake, triage, and investigation. Mentor junior analysts, set and evolve SOC playbooks, and act as incident commander for high-severity investigations.",siem|splunk|incident-response|soc|python|leadership|mentoring|linux,threat-modeling|compliance,Remote
J024,Senior Security Engineer,Security Analyst,Senior,"Drive application security strategy across multiple product lines, balancing threat modeling coverage, pentest cadence, and compliance evidence work. Advise executives on risk posture and partner with engineering leaders on security requirements baked into product planning.",threat-modeling|owasp|penetration-testing|compliance|iam|cryptography|python|leadership,siem|incident-response,San Francisco CA
J025,Lead Security Analyst,Security Analyst,Senior,"Own the SOC's leadership rotation and act as a senior incident commander for major events. Drive incident response maturity through postmortem programs, tabletop cadence, and a purple-team program that spans detection, offense, and platform engineering.",soc|incident-response|siem|splunk|leadership|mentoring|communication|python,threat-modeling|compliance,Washington DC
J026,Principal Security Analyst,Security Analyst,Senior,"Set and maintain org-wide security standards spanning application security, incident response, and governance, risk, and compliance. Partner with executives on quarterly risk reporting, board-level security narratives, and strategic investments across the security function.",owasp|incident-response|compliance|threat-modeling|leadership|communication|mentoring,siem|penetration-testing,Remote
J027,Junior Backend Engineer,Backend Engineer,Junior,"Build REST endpoints in a Python and Flask service, implementing request validation, error handling, and unit tests for new routes. Learn Postgres schema design and query optimization under senior guidance, and participate in weekly code reviews and pair-programming sessions.",python|flask|rest|postgresql|git|sql,docker|redis,Remote
J028,Junior Backend Engineer,Backend Engineer,Junior,"Ship user-facing features inside a long-lived Django monolith, including ORM model changes, templated views, and background job handlers. Pair with senior engineers on code reviews, ramp into an on-call rotation, and contribute to incremental service extraction work as it comes up.",python|django|rest|postgresql|git|sql,docker|redis,Boston MA
J029,Associate Backend Engineer,Backend Engineer,Junior,"Develop Node.js services on Express for a product backend, focusing on request validation, error handling, and integration tests. Contribute to MongoDB data model refinements, propose indexing changes under senior review, and pair with the data platform team on read patterns.",javascript|nodejs|express|mongodb|rest|git,typescript|docker,Remote
J030,Associate Backend Engineer,Backend Engineer,Junior,"Implement features in a Go service supporting a high-traffic product area, with emphasis on clean interfaces and comprehensive test coverage. Contribute to internal tooling that the rest of the backend team uses daily, and participate in code review rotations with senior engineers.",go|rest|postgresql|git|docker|linux,grpc|redis,Austin TX
J031,Backend Engineer,Backend Engineer,Mid,"Own a Python and FastAPI service end-to-end, shaping its API surface, operational posture, and test coverage as requirements evolve. Design Postgres schemas for new product features, optimize slow queries, and partner with SREs on reliability and capacity planning.",python|fastapi|rest|postgresql|redis|docker|git|sql,kubernetes|ci-cd,Remote
J032,Backend Engineer,Backend Engineer,Mid,"Build and operate high-throughput Go microservices that sit on the critical path for product traffic. Own service reliability and observability for the team's services, including SLO definition, tracing instrumentation, and postmortem follow-ups after incidents.",go|rest|postgresql|docker|git|linux|observability,kafka|grpc,Remote
J033,Backend Engineer II,Backend Engineer,Mid,"Develop Java and Spring Boot services within a larger platform composed of dozens of interacting services. Drive API design reviews with consumers, author and maintain contract tests across service boundaries, and lead incremental refactors that improve modularity.",java|spring|rest|postgresql|docker|git|sql,kafka|ci-cd,New York NY
J034,Backend Engineer II,Backend Engineer,Mid,"Own significant portions of a Ruby on Rails application backend, shipping features across payments, billing, and user management. Collaborate with product managers on requirements, own schema migrations in a high-write database, and mentor incoming engineers on Rails conventions.",ruby|rails|rest|postgresql|redis|git|sql,docker|ci-cd,Chicago IL
J035,Backend Engineer II,Backend Engineer,Mid,"Ship Python services with FastAPI supporting a new product area, including auth, persistence, and external integrations. Lead the team's first GraphQL adoption, balancing schema design, caching, and client ergonomics with existing REST consumers.",python|fastapi|graphql|postgresql|docker|redis|git,ci-cd|kubernetes,Remote
J036,Senior Backend Engineer,Backend Engineer,Senior,"Lead service design reviews across a backend team responsible for several product-critical services. Mentor mid-level engineers on API ergonomics, Postgres patterns, and testing strategy, and act as the tie-breaker on cross-team contract changes.",python|fastapi|rest|postgresql|redis|docker|leadership|mentoring|git,kubernetes|graphql,Remote
J037,Senior Backend Engineer,Backend Engineer,Senior,"Own the technical output of a Go-focused platform team powering internal infrastructure used by application engineers. Drive cross-team contract design, reliability reviews, and capacity planning for a service estate with aggressive uptime targets.",go|rest|postgresql|docker|leadership|mentoring|observability|git,kafka|grpc,Seattle WA
J038,Staff Backend Engineer,Backend Engineer,Senior,"Architect data-plane services in Java for a large, high-throughput platform where latency and correctness both matter. Sponsor multi-team initiatives around schema evolution, observability, and capacity, and represent the team in cross-org architecture reviews.",java|spring|rest|postgresql|kafka|leadership|mentoring|communication,docker|ci-cd,Remote
J039,Principal Backend Engineer,Backend Engineer,Senior,"Set backend engineering standards across the organization, covering language choices, API design, and service lifecycle. Own API governance and reliability programs, partner with leadership on multi-quarter platform roadmaps, and mentor staff-level engineers across teams.",python|go|rest|postgresql|leadership|mentoring|sre|communication,graphql|kafka,New York NY
J040,Junior Data Analyst,Data Analyst,Junior,"Write SQL to answer ad-hoc questions from stakeholders across the growth org, translating fuzzy business questions into precise queries. Build Tableau dashboards that surface funnel, retention, and acquisition metrics, and iterate on them with PMs as their needs evolve.",sql|python|tableau|pandas|statistics,powerbi|looker,Remote
J041,Junior Data Analyst,Data Analyst,Junior,"Support the finance team with recurring SQL reporting on revenue, cost, and forecasting inputs, and explain methodology to non-technical stakeholders. Learn experimentation fundamentals and statistical reasoning alongside senior analytics leads, and shadow them during readouts.",sql|python|pandas|statistics|ab-testing,tableau|looker,Boston MA
J042,Associate Analyst,Data Analyst,Junior,"Build and maintain marketing funnel dashboards in Looker, covering acquisition, activation, and retention across paid and organic channels. Partner with growth PMs on KPI definitions, diagnose dashboard anomalies, and document analytical choices for the rest of the team.",sql|looker|python|pandas|statistics,tableau|ab-testing,Austin TX
J043,Junior Business Analyst,Data Analyst,Junior,"Own weekly operations reporting delivered through Power BI dashboards consumed by operations leadership. Collaborate with operations leads on data quality issues upstream, investigate discrepancies with engineering partners, and present findings at the weekly business review.",sql|powerbi|python|pandas|communication,tableau|statistics,New York NY
J044,Data Analyst,Data Analyst,Mid,"Lead analytics for a product team, partnering with PMs on roadmap decisions grounded in user behavior and experiment evidence. Design experiments end-to-end, compute and communicate results to stakeholders, and push back when interpretations outrun what the data can support.",sql|python|pandas|statistics|ab-testing|tableau|communication,looker|powerbi,Remote
J045,Data Analyst,Data Analyst,Mid,"Drive self-serve analytics adoption across product and marketing teams by curating trusted explores and documenting metric definitions. Own Looker models, review incoming LookML contributions from other analysts, and host office hours for consumers of the analytics stack.",sql|looker|python|pandas|statistics|communication,dbt|tableau,Remote
J046,Data Analyst II,Data Analyst,Mid,"Partner with finance leadership on forecasting models, working through methodology, inputs, and confidence intervals. Build automated reporting via Python and dbt so finance leadership can drill into variance against forecast without waiting on manual refreshes.",sql|python|pandas|dbt|statistics|tableau,looker|ab-testing,Chicago IL
J047,Data Analyst II,Data Analyst,Mid,"Own experimentation platform adoption across product teams, helping them design well-powered tests and avoid common pitfalls. Perform statistical analysis and lift estimation for high-visibility launches and push methodology improvements upstream to the platform team.",sql|python|pandas|statistics|ab-testing|communication,dbt|tableau,Remote
J048,Data Analyst II,Data Analyst,Mid,"Drive analytics for marketing attribution, combining on-platform events with partner data to tell a trustworthy story about channel performance. Build models in dbt on Snowflake, document assumptions clearly, and partner with marketing leadership on campaign postmortems.",sql|snowflake|dbt|python|pandas|tableau|statistics,ab-testing|looker,San Francisco CA
J049,Senior Data Analyst,Data Analyst,Senior,"Lead product analytics for a growing engineering organization, framing questions with PMs and picking the right methodology for each. Mentor junior analysts on experimentation rigor and causal inference, and represent analytics in cross-functional launch planning.",sql|python|pandas|statistics|ab-testing|tableau|leadership|mentoring|communication,looker|snowflake,Remote
J050,Senior Data Analyst,Data Analyst,Senior,"Own analytics strategy for the finance organization, aligning reporting, forecasting, and investigative analytics with leadership priorities. Partner directly with executives on board-ready narratives and coach finance partners on how to get the most from the analytics team.",sql|python|pandas|statistics|tableau|powerbi|leadership|communication,dbt|snowflake,New York NY
J051,Lead Analyst,Data Analyst,Senior,"Run the cross-org analytics guild, setting tooling standards and convening recurring forums on methodology and tradecraft. Drive data literacy training for partner teams and advise leadership on analytics hiring, career frameworks, and investment priorities.",sql|python|pandas|looker|statistics|leadership|mentoring|communication,dbt|tableau,Remote
J052,Principal Data Analyst,Data Analyst,Senior,"Advise executives on business performance and strategy through a combination of recurring reviews and targeted deep-dives. Own executive dashboards and board-level narrative work, and shape the organization's point of view on its most important metrics.",sql|python|pandas|statistics|tableau|leadership|communication|technical-writing,snowflake|looker,Remote
J053,Junior ML Engineer,ML Engineer,Junior,"Ship modeling features and pipeline updates with scikit-learn under senior guidance on a product team using classical ML. Learn experiment tracking with MLflow, contribute to evaluation notebooks, and participate in regular model review sessions alongside more experienced ML engineers.",python|scikit-learn|pandas|numpy|statistics|git,mlflow|feature-engineering,Remote
J054,Junior ML Engineer,ML Engineer,Junior,"Build baseline models in PyTorch for a research-adjacent product team tackling new modeling problems. Assist with data pipelines and evaluation notebooks under senior guidance, and participate in weekly paper readings to build foundational context.",python|pytorch|pandas|numpy|jupyter|git,scikit-learn|statistics,Seattle WA
J055,Associate ML Engineer,ML Engineer,Junior,"Support NLP feature development for a search and ranking team under senior guidance and review. Run fine-tuning experiments on Hugging Face models, maintain evaluation datasets, and contribute to offline eval notebooks used in model launch decisions.",python|huggingface|pytorch|pandas|numpy|nlp|git,scikit-learn|jupyter,Remote
J056,Associate ML Engineer,ML Engineer,Junior,"Train computer vision models in TensorFlow as part of a team building defect detection for an industrial product. Contribute to training data pipelines, including labeling workflows and data augmentation, and assist with evaluation on held-out benchmark sets.",python|tensorflow|pandas|numpy|computer-vision|jupyter|git,pytorch|deep-learning,Boston MA
J057,ML Engineer,ML Engineer,Mid,"Own tabular ML models end-to-end, from feature engineering and training through evaluation, deployment, and monitoring. Track experiments with MLflow, work with data engineers on reliable feature pipelines, and defend model choices in launch reviews.",python|scikit-learn|pandas|numpy|feature-engineering|mlflow|model-deployment|statistics|git,docker|aws,Remote
J058,ML Engineer,ML Engineer,Mid,"Train and deploy deep learning models across the PyTorch ecosystem, handling mixed GPU and CPU infrastructure for training and serving. Partner with platform teams on efficient utilization and own offline-to-online evaluation discipline for model launches.",python|pytorch|deep-learning|pandas|numpy|model-deployment|docker|git,mlflow|aws,San Francisco CA
J059,ML Engineer II,ML Engineer,Mid,"Own NLP systems for search and recommendation surfaces, combining Hugging Face models with custom transformer work tailored to product requirements. Drive eval methodology, ship regular model updates, and partner with product on how the model's behavior maps to user outcomes.",python|huggingface|pytorch|nlp|pandas|model-deployment|docker|git,mlflow|aws,Remote
J060,ML Engineer II,ML Engineer,Mid,"Productionize computer vision models for an industrial quality inspection system deployed at multiple factory sites. Build data pipelines with Spark, own the offline evaluation pipeline, and partner with onsite ops teams on labeling, data quality, and deployment rollouts.",python|tensorflow|computer-vision|spark|pandas|model-deployment|docker|git,mlflow|aws,Austin TX
J061,ML Engineer II,ML Engineer,Mid,"Build experimentation platform components for a growing org, including randomization, stats, and reporting layers. Support A/B testing, causal inference, and ML model evaluation use cases, and partner with product analysts to keep methodology consistent across teams.",python|scikit-learn|pandas|numpy|statistics|ab-testing|feature-engineering|git,mlflow|docker,Remote
J062,Senior ML Engineer,ML Engineer,Senior,"Lead ML systems for a product area, setting direction on modeling approach, eval practice, and production integration. Mentor junior ML engineers on production patterns, partner with product managers on launch readiness, and run cross-team model reviews.",python|pytorch|scikit-learn|pandas|model-deployment|mlflow|leadership|mentoring|git,aws|docker,Remote
J063,Senior ML Engineer,ML Engineer,Senior,"Own the company's NLP platform, covering training, serving, and eval surfaces used by multiple product teams. Partner with product leaders on launch decisions grounded in rigorous offline and online evaluation, and advise on modeling tradeoffs at planning time.",python|huggingface|pytorch|nlp|model-deployment|mlflow|leadership|communication|git,aws|docker,San Francisco CA
J064,Staff ML Engineer,ML Engineer,Senior,"Architect ML infrastructure used by multiple product teams, spanning training, serving, and artifact management. Drive modeling standards and evaluation practices across teams, mentor staff-track ICs, and partner with platform leadership on multi-quarter roadmaps.",python|pytorch|scikit-learn|mlflow|model-deployment|leadership|mentoring|sre|git,aws|kubernetes,Remote
J065,Principal ML Engineer,ML Engineer,Senior,"Set ML strategy across product lines, weighing modeling ambition against shipping constraints and platform maturity. Partner with research leadership and product executives on portfolio decisions, and mentor senior ML engineers across the organization.",python|pytorch|deep-learning|nlp|model-deployment|leadership|communication|mentoring,aws|statistics,New York NY
J066,Junior Frontend Engineer,Frontend Engineer,Junior,"Build React UI components inside an established design system used by multiple product teams. Learn accessibility fundamentals through code review, contribute to the internal component library, and participate in cross-team design reviews with senior frontend engineers.",javascript|react|html|css|git,typescript|redux,Remote
J067,Junior Frontend Engineer,Frontend Engineer,Junior,"Ship user-facing features inside a Next.js application that powers the main marketing and commerce funnels. Pair with senior frontend engineers during code review, participate in design critique sessions, and learn Next.js rendering tradeoffs through hands-on work.",javascript|typescript|react|nextjs|html|css|git,tailwind|redux,Austin TX
J068,Associate Frontend Engineer,Frontend Engineer,Junior,"Implement UI features in a Vue 3 single-page application powering an internal workflow tool. Contribute to the shared component library alongside senior engineers, and participate in design reviews to learn how product requirements translate into component boundaries.",javascript|vue|html|css|git,typescript|rest,Remote
J069,Associate Frontend Engineer,Frontend Engineer,Junior,"Build Angular components for an enterprise dashboard product used by large customers with complex configuration needs. Work with senior engineers on state management patterns and enterprise customer requirements, and learn the team's approach to regression testing and release coordination.",javascript|typescript|angular|html|css|git,rest|redux,Chicago IL
J070,Frontend Engineer,Frontend Engineer,Mid,"Own React and Next.js features for growth surfaces where performance and accessibility directly affect acquisition. Drive Core Web Vitals and accessibility improvements via measurement and targeted interventions, and partner with the design team on component-level patterns.",javascript|typescript|react|nextjs|html|css|redux|rest|git,tailwind|graphql,Remote
J071,Frontend Engineer,Frontend Engineer,Mid,"Ship features in a TypeScript-heavy React app where type safety and maintainability are taken seriously. Work closely with the design system team on new components, lead code reviews for mid-level peers, and own incremental improvements to testing and CI workflows.",javascript|typescript|react|html|css|tailwind|rest|git,redux|nextjs,San Francisco CA
J072,Frontend Engineer II,Frontend Engineer,Mid,"Build a cross-browser single-page application with Vue 3 powering a product used across consumer and enterprise channels. Own build tooling, pipeline ergonomics, and frontend reliability, and partner with platform teams on observability for client-side errors.",javascript|typescript|vue|html|css|rest|git,tailwind|ci-cd,Remote
J073,Frontend Engineer II,Frontend Engineer,Mid,"Lead an Angular-to-React migration for a legacy product with years of accumulated UI, balancing feature velocity against platform transformation. Design an incremental adoption strategy that lets product teams ship during the migration and coordinate cross-team rollout.",javascript|typescript|react|angular|html|css|git,redux|rest,Boston MA
J074,Frontend Engineer II,Frontend Engineer,Mid,"Own the internal design system and ship accessible React primitives consumed by every product team in the org. Partner with designers on ergonomics and accessibility patterns, run adoption reviews with consumer teams, and shape the design system roadmap.",javascript|typescript|react|html|css|tailwind|git|communication,redux|graphql,Remote
J075,Senior Frontend Engineer,Frontend Engineer,Senior,"Lead frontend architecture for a product area, setting direction on rendering strategy, state management, and cross-team contracts. Mentor mid-level engineers on React patterns and TypeScript ergonomics, and represent the team in architecture reviews.",javascript|typescript|react|nextjs|html|css|redux|leadership|mentoring|git,tailwind|graphql,Remote
J076,Senior Frontend Engineer,Frontend Engineer,Senior,"Own frontend performance and observability across a multi-team product, setting budgets and regression thresholds. Drive Core Web Vitals work org-wide through guided rollouts, tooling investments, and targeted coaching for teams owning slow surfaces.",javascript|typescript|react|html|css|observability|leadership|mentoring|git,nextjs|tailwind,New York NY
J077,Staff Frontend Engineer,Frontend Engineer,Senior,"Set frontend engineering standards across the organization, from framework choice to testing and release practices. Sponsor design-system adoption and type-safety initiatives that span multiple teams, and partner with engineering leadership on multi-quarter roadmaps.",javascript|typescript|react|html|css|leadership|mentoring|communication|git,nextjs|graphql,Remote
J078,Principal Frontend Engineer,Frontend Engineer,Senior,"Own frontend platform strategy across multiple product lines with distinct constraints and customer profiles. Partner with staff peers in backend and design systems, advise leadership on platform investment, and grow senior ICs through coaching and technical-writing feedback.",javascript|typescript|react|leadership|mentoring|communication|technical-writing|git,nextjs|tailwind,San Francisco CA
J079,Junior DevOps Engineer,DevOps Engineer,Junior,"Maintain Jenkins pipelines for product teams, triaging pipeline failures and pairing with engineers on reliability fixes. Write Ansible playbooks for server configuration, handle routine operational tickets, and shadow senior DevOps engineers during on-call.",jenkins|ansible|linux|bash|git|ci-cd,docker|terraform,Remote
J080,Junior DevOps Engineer,DevOps Engineer,Junior,"Support a company-wide CI/CD modernization effort moving pipelines onto GitHub Actions. Author new workflows under senior guidance, help migrate existing pipelines off legacy systems, and contribute to the team's documentation as the new patterns stabilize.",github-actions|ci-cd|linux|bash|git|docker,terraform|python,Austin TX
J081,Associate DevOps Engineer,DevOps Engineer,Junior,"Contribute Terraform modules to the platform team's catalog, starting with low-risk refactors and expanding scope with experience. Run Kubernetes workloads in the platform environment, triage cluster-level issues with senior engineers, and participate in on-call shadowing.",terraform|kubernetes|docker|linux|bash|git|ci-cd,helm|python,Denver CO
J082,Associate SRE,DevOps Engineer,Junior,"Support the observability platform on a junior SRE track, tuning Prometheus alerts to reduce noise and improve actionability. Work with application teams on Grafana dashboards for new services, and learn incident response patterns through shadowing senior SREs.",prometheus|grafana|linux|bash|git|observability,docker|kubernetes,Remote
J083,DevOps Engineer,DevOps Engineer,Mid,"Own the CI/CD platform used across product engineering, setting conventions and operating the shared infrastructure. Lead the multi-quarter migration of legacy Jenkins pipelines to GitHub Actions, including tooling, documentation, and enablement work.",jenkins|github-actions|ci-cd|docker|linux|bash|git|terraform,kubernetes|python,Remote
J084,DevOps Engineer,DevOps Engineer,Mid,"Run the Kubernetes platform used by application teams, including upgrade cadence, capacity, and shared tenancy concerns. Own Helm chart standards and review templates used org-wide, and partner with application engineers on deployment ergonomics.",kubernetes|helm|terraform|docker|linux|bash|ci-cd|git,prometheus|grafana,Seattle WA
J085,DevOps Engineer II,DevOps Engineer,Mid,"Own the observability stack built on Prometheus and Grafana and used across all production services. Drive SLO adoption across teams through hands-on collaboration, recurring reviews, and tooling improvements that make healthy patterns the default choice.",prometheus|grafana|observability|kubernetes|linux|git|python|ci-cd,sre|terraform,Remote
J086,DevOps Engineer II,DevOps Engineer,Mid,"Maintain the Ansible-based configuration management stack powering the company's legacy infrastructure footprint. Drive infrastructure-as-code maturity by migrating targeted areas to Terraform and growing the org's testing and review discipline for infra changes.",ansible|terraform|linux|bash|git|ci-cd|python,docker|kubernetes,Chicago IL
J087,DevOps Engineer II,DevOps Engineer,Mid,"Run the Datadog-centric observability setup the company uses across product and platform teams. Partner with application teams on reliability improvements, SLO definition, and postmortem follow-through, and tune cost and ingestion for fast-growing services.",datadog|kubernetes|linux|observability|git|ci-cd|python,prometheus|terraform,Remote
J088,Senior DevOps Engineer,DevOps Engineer,Senior,"Lead the platform team's CI/CD roadmap across multiple product orgs, prioritizing investments across ergonomics, security, and reliability. Mentor junior engineers, drive Kubernetes adoption for latecomer teams, and own the multi-quarter migration plan.",kubernetes|terraform|github-actions|ci-cd|docker|linux|leadership|mentoring|git,helm|python,Remote
J089,Senior DevOps Engineer,DevOps Engineer,Senior,"Own the SRE practice for the company, setting expectations for error budgets, reliability reviews, and incident response behavior. Drive incident response culture through postmortem coaching, tabletop exercises, and cross-team reliability initiatives with real follow-through.",kubernetes|prometheus|grafana|observability|sre|leadership|mentoring|linux|git,terraform|python,San Francisco CA
J090,Staff DevOps Engineer,DevOps Engineer,Senior,"Set platform engineering standards across the company, covering tooling, patterns, and the lifecycle of shared infrastructure. Own multi-cloud infrastructure strategy in partnership with security and finance, and sponsor reliability programs across product engineering.",kubernetes|terraform|aws|gcp|leadership|mentoring|sre|linux|git,helm|prometheus,Remote
J091,Principal DevOps Engineer,DevOps Engineer,Senior,"Architect the platform that a 300-engineer organization builds on, balancing developer experience, reliability, and cost. Sponsor multi-team reliability and developer-experience programs, and partner with leadership on vendor, staffing, and roadmap decisions.",kubernetes|terraform|leadership|mentoring|sre|communication|ci-cd|git,observability|helm,New York NY
J092,Junior Data Engineer,Data Engineer,Junior,"Assist with Airflow DAG authoring for batch pipelines feeding analytics and ML surfaces. Learn dbt under senior guidance through hands-on model contributions, participate in code review rotations, and own pipeline monitoring duties on a rotating basis.",python|sql|airflow|dbt|git,postgresql|etl,Remote
J093,Junior Data Engineer,Data Engineer,Junior,"Build ingestion jobs in Python that land data from upstream systems into the warehouse at the required cadence. Contribute to Snowflake modeling work under senior guidance, write targeted tests against pipeline outputs, and help maintain operational runbooks.",python|sql|snowflake|pandas|git,dbt|etl,Austin TX
J094,Associate Data Engineer,Data Engineer,Junior,"Maintain BigQuery pipelines used by analytics and product teams, triaging upstream changes and schema drifts. Contribute to data quality tooling the team shares across pipelines, and pair with senior data engineers on more complex migrations and backfills.",python|sql|bigquery|pandas|git,dbt|airflow,Remote
J095,Associate Data Engineer,Data Engineer,Junior,"Write Spark jobs powering data lake ETL for a high-volume consumer product. Learn Kafka and streaming concepts under senior guidance, run backfills with care, and contribute to the team's testing patterns for large-scale batch jobs.",python|spark|sql|etl|git,kafka|airflow,New York NY
